"Proximal,10ms,0.2Hz,9.4GPM","Distal,10ms,0.2Hz,9.4GPM","Proximal,10ms,0.2Hz,8.6GPM","Distal,10ms,0.2Hz,8.6GPM","Proximal,10ms,0.2Hz,7.8GPM","Distal,10ms,0.2Hz,7.8GPM","Proximal,10ms,0.2Hz,6.7GPM","Distal,10ms,0.2Hz,6.7GPM","Proximal,10ms,0.2Hz,5.4GPM","Distal,10ms,0.2Hz,5.4GPM","Proximal,10ms,0.2Hz,3.9GPM","Distal,10ms,0.2Hz,3.9GPM","Proximal,10ms,0.2Hz,3.2GPM","Distal,10ms,0.2Hz,3.2GPM"
30.755,31.174,29.26,31.034,30.732,31.407,30.108,31.15,29.534,30.246,30.918,31.454,30.709,31.9
30.778,31.08,29.397,30.941,31.501,31.477,30.039,31.174,29.603,31.104,30.987,31.407,30.408,31.641
30.431,31.104,29.534,31.407,31.314,31.384,30.039,31.197,29.603,32.895,30.941,31.384,30.431,31.524
30.941,31.267,29.603,31.08,31.524,31.454,30.039,31.15,29.649,29.993,30.825,26.225,30.755,31.314
30.709,31.197,29.465,31.197,31.454,31.524,30.039,31.174,29.306,30.894,30.941,31.454,30.408,31.641
30.639,31.08,29.671,31.08,31.524,31.454,29.993,31.244,29.557,30.894,30.894,31.454,30.639,31.759
30.732,31.034,29.465,31.36,31.407,31.477,30.039,31.15,29.58,31.127,30.894,31.477,30.523,31.314
30.616,31.127,29.351,31.407,31.407,31.454,29.993,30.477,29.649,30.755,30.918,31.29,30.523,31.688
30.639,30.755,29.465,30.918,31.407,31.477,29.924,31.174,29.58,30.918,30.848,31.407,30.362,31.665
30.016,30.848,29.511,30.871,31.384,31.501,29.97,31.197,29.671,30.848,30.848,31.524,30.431,31.829
30.408,31.127,29.42,30.987,31.36,31.454,29.924,31.174,27.698,30.825,30.848,31.477,30.292,31.594
30.062,31.15,29.374,30.801,31.267,31.477,29.809,31.174,29.878,30.709,30.941,31.454,30.338,31.407
30.477,31.15,29.626,31.314,31.314,31.501,30.016,31.174,29.237,30.801,30.848,31.477,30.477,31.712
30.477,31.034,29.603,30.848,31.29,31.29,29.947,31.174,31.15,31.407,30.894,31.501,30.57,31.571
